address,city,bar,phones,postalCode,province,o_times,c_times
848 Peachtree St N E,Atlanta,Gordon Biersch Brewery Restaurant,"4048700805, (404) 870-0805",30308,GA,13:00,24:00:00
3039 Peachtree Rd N E,Atlanta,John Harvard's Brew House,4048162739,30305,GA,12:00,24:00:00
75 5629 Kuakini Hwy,Kailua Kona,Kona Brewing Co & Brew Pub,,96740-1664,HI,12:00,24:00:00
95 1840 Meheula Pkwy,Mililani Town,Taps & Apps,,96789,HI,13:00,2:00
4405 Honoapiilani Hwy,Lahaina,Maui Brewing Co. Brewpub,"8086693474, 8086651114",96761,HI,12:00,24:00:00
39 W Main St,Waukon,City Club Inn,5635682656,"52172, 52172-1637",IA,14:00,1:00
112 Weaver St,Linn Grove,Bobby's Sand Bar,7122963232,51033-1019,IA,12:00,1:00
2735 Telegraph Rd,Davenport,Carole's,5633229179,"52804-4332, 52804",IA,14:00,24:00:00
107 N Lawler St,Postville,Club 51,5638647864,"52162, 52162-7799",IA,12:00,2:00
416 E Walnut St,Des Moines,Beechwood Lounge,5152882337,50309,IA,12:00,1:00
1107 S 8th St,Clinton,8th St Inn,5632436200,52732,IA,13:00,24:00:00
1017 2nd Ave S E,Cascade,Bent-rim The,5638527399,52033-9557,IA,14:00,1:00
3019 N Cole Rd,Boise,Sockeye Grill and Brewery,2086581533,83704,ID,12:00,2:00
1515 N Midland Blvd,Nampa,Firehouse Sports Pub,"2084630167, 2084671177",83651,ID,12:00,24:00:00
222 N 1st Ave,Sandpoint,A and P Bar and Grill,2082632313,"83864-1402, 83864",ID,14:00,2:00
513 Jubilee Ln,Germantown Hills,Germantown Grille,3093833030,61548,IL,12:00,1:00
4514 Ninth St,Rock Island,City Limits Saloon & Grill,3097864889,61201,IL,12:00,2:00
3155 N Broadway St,Chicago,Dry Hop Brewers,"7738573155, 7738571304",60657,IL,14:00,24:00:00
104 S Main St,Virginia,East Side Inc,2174527400,"62691, 62691-1312",IL,14:00,1:00
700 E Grand Ave,Carbondale,Copper Dragon Brewing Co,"6185293348, 6185492319",62901,IL,14:00,24:00:00
110 N Brockway St,Palatine,Emmett's Tavern & Brewing Co,8473591533,60067,IL,12:00,2:00
301 N Neil St,Champaign,Destihl Restaurant & Brew Works,2173560301,61820,IL,13:00,1:00
214 E State St,Jacksonville,Emporium The,2172434217,62650-2028,IL,13:00,1:00
557 William R Latham Senior Dr,Bourbonnais,Brickstone Brewery,,60914,IL,12:00,24:00:00
711 E Thompson Rd,Indianapolis,Compa,3177829007,46227-8401,IN,14:00,2:00
100 E Toledo St,Fremont,Corner Pocket Tavern,2604959255,46737,IN,13:00,2:00
2488 Getz Rd,Fort Wayne,Aj's Bar & Grill,2604341980,46804-1632,IN,14:00,24:00:00
928 E Mckinley Ave,Mishawaka,Blue Lantern Steak & Seafood,"574-255-2005, 5742552005",46545,IN,13:00,1:00
1409 119th St,Whiting,Bulldog Brewing Company,2196555284,46394,IN,13:00,24:00:00
148 E Morse St,Markle,Duffys Too Inc,2607582300,46770-5452,IN,14:00,24:00:00
26582 Us Highway 20,S Bend,Bob's Tavern 19th Hole,"5742330297, 5749680462, 5742892318","46628-4544, 46628",IN,14:00,1:00
3744 Lafayette Rd,Indianapolis,Fat Cat Bar,3172919706,46222-1111,IN,12:00,2:00
10940 Parallel Pkwy,Kansas City,Danny's Bar & Grill,9133280247,66109,KS,14:00,1:00
417 S W 37th St,Topeka,The Blind Tiger Brewery,"7852676759, (785) 267-6759",66611,KS,13:00,2:00
150 N Mosley St,Wichita,River City Brewery,316-263-2739,67202,KS,14:00,24:00:00
1110 Westloop Pl,Manhattan,Little Apple Brewing Co,"785-539-5500, 7855395500",66502,KS,14:00,2:00
1400 Ohio St,Lawrence,The Wheel,7858410488,66044,KS,12:00,2:00
225 S Spring St,Louisville,Willingers Beer Depot,5025879611,40206,KY,14:00,2:00
610 W Third St,Lexington,Blue Stallion Brewing Co,"8779282337, 8592534325, 8592430827",40508,KY,12:00,2:00
4521 Bardstown Rd,Louisville,More Shenanigans,5024933585,40218,KY,13:00,1:00
7922 1st St,Addis,Chucks Lounge,2.26E+09,70710-2101,LA,13:00,1:00
1051 Millerville Rd,Baton Rouge,Big Heads Tavern,2252758181,"70816, 70816-1277",LA,14:00,2:00
2229 Hickory Ave,River Ridge,Beepster's Tavern,5047378615,70123-1613,LA,13:00,2:00
1251 Dalzell St,Shreveport,Great Raft Brewing,13187349881,71103,LA,14:00,1:00
256 Moody Saint (at Pine St),Waltham,Watch City Brewing Co,7816474000,2453,MA,12:00,2:00
1664 Main St,Agawam,T J Sport House,4137864874,"01001-2577, 01001",MA,12:00,24:00:00
170 I St,S Boston,Quencher Tavern The,6177650470,02127-3099,MA,13:00,1:00
512 Main St,Chatham,Wild Goose Tavern,5089455590,"02633, 02633-2239",MA,14:00,2:00
200 E Middle Ln,Rockville,Gordon Biersch,3013407159,20850,MD,12:00,1:00
227 E Diamond Ave,Gaithersburg,Growlers of Gaithersburg,3015199400,20877,MD,12:00,1:00
6695 Dobbin Rd,Columbia,Frisco Tap House & Brewery,4103124907,21045,MD,12:00,1:00
1016 N Main St,Brewer,Eagles Nest,2079897635,4412,ME,13:00,24:00:00
393 N Main St,Brewer,Jesters,2079893500,04412-1802,ME,12:00,2:00
29 Sunday River Rd,Bethel,Sunday River Brewing Co,"2078245051, 12078244253, 2078244253, 2078243380",4217,ME,13:00,2:00
513 S Main St,Brewer,Pepino's Taco Stand,2079891111,"04412, 04412-2427",ME,13:00,24:00:00
492 Wilson St,Brewer,Noodles & Company,2079899898,4412,ME,14:00,2:00
895 E Cesar Chavez Ave,Pontiac,King Brewing Co,2487455900,48340,MI,13:00,2:00
5919 Chicago Rd,Warren,Kuhnhenn Brewing Co.,"5862642351, 5869798361",48092,MI,14:00,2:00
1896 Horton Rd,Jackson,Key Largo Lounge Inc,5177824143,49203,MI,13:00,2:00
311 S Main St,Annarbor,Jolly Pumpkin Cafe & Brewery,7349132730,48104,MI,14:00,2:00
115 N Hoop Holler Rd,Merriweather,Hoop N Holler Tavern,9065755555,49947-9621,MI,12:00,24:00:00
2707 Nelson St,Manistee,Jailhouse Bar,2317234868,49660,MI,14:00,1:00
4848 W 35th St,Saint Louis Park,Steel Toe Brewing,"9529559965, (952) 955-9965",55416,MN,14:00,2:00
214 N Minnesota St,New Ulm,Lamplighter Family Sports Bar Grill,"5073594673, 5073542185",56073,MN,13:00,1:00
2035 Benson Ave,Saint Paul,Flat Earth Brewery,6.52E+09,55116-3213,MN,13:00,1:00
102 W Main St,Morristown,Old Town Tavern,"5074128610, 5076854567",55052,MN,14:00,1:00
216 E 9th Ave,N Kansas City,Big Rip Brewing Company,8168660747,64116,MO,12:00,24:00:00
2710 Cherokee St,Saint Louis,Earthbound Brewing,3147699576,63118,MO,14:00,1:00
3815 N Chouteau Trfy,Kansascity,Chouteau Inn,8164536297,64117,MO,13:00,1:00
10012 E 63rd St,Raytown,Bickering Tree Lounge,8163563009,64133-5102,MO,12:00,1:00
3964 Goodman Rd E,Southaven,Dan Mcguinness Irish Pub,6628907611,38672,MS,14:00,24:00:00
465 E Galena St,Butte,Butte Brewing Company,14064947710,59701,MT,12:00,24:00:00
117 E Park Ave,Anaconda,Gallicano's Pizzeria,4065637776,"59711-2256, 59711",MT,12:00,1:00
66 S Park Ave,Helena,Blackfoot River Brewing Co,"14064493005, 4064493005, 4064490307",59601,MT,13:00,24:00:00
1609 S 11th Ave,Bozeman,Bridger Brewing,"4065872124, 14065872124, (406) 587-2124",59715,MT,14:00,2:00
318 N Higgins Ave,Missoula,Feruqi's,4067288799,59802,MT,14:00,24:00:00
910 E Commercial Ave,Anaconda,Gold Bar Tavern,4065636866,59711-2626,MT,14:00,2:00
4530 N Roxboro St,Durham,Bowling's,9194773713,27704-1832,NC,12:00,1:00
645 Pressley Rd,Charlotte,C B S Distributing Inc,7045595283,28217,NC,14:00,1:00
147 N,Swansboro,Bake Bottle & Brew,9103257550,28584,NC,14:00,24:00:00
417 G St,Central City,Independent Club,3089469819,68826,NE,14:00,24:00:00
4745 S 96th St,Omaha,Getaway Lounge,4029328668,"68127, 68127-2019",NE,12:00,2:00
1116 Jackson St,Omaha,Brickway Brewery & Distillery,"4029332613, (402) 933-2613",68102,NE,14:00,2:00
155 Main St,Chadron,Favorite Bar,3084325366,"69337, 69337-2353",NE,14:00,24:00:00
17740 N 2 Saint,Davey,Davey Tavern,4027853835,68336-6833,NE,13:00,2:00
5413 S 72 Saint,Omaha,Anchor Inn Patio Bar,4023958286,68127,NE,14:00,2:00
222 West St,Keene,Elm City Restaurant & Brewery,"6033558154, 6033553335",3431,NH,13:00,24:00:00
15 Londonderry Rd,Londonderry,From The Barrel Brewing Company Llc,,3053,NH,12:00,24:00:00
2114 Grier Ave,Linden,Taste of Europe,9084864553,07036-1325,NJ,14:00,24:00:00
32 Chestnut St,Ridgewood,The Office Beer Bar & Grill,2016521070,7450,NJ,12:00,24:00:00
541 Central Ave,Newark,B B Cafe,9734839814,07107-1443,NJ,12:00,24:00:00
6701 Park Ave,W New York,Timmy's Tavern,,07093-4460,NJ,14:00,2:00
101 E Main St,Farmington,Three Rivers Eatery,"5053242187, 5053250308, 5053256605, (505) 324-2187",87401,NM,14:00,1:00
2846 State Highway 14 N,Madrid,Mine Shaft Tavern,,87010-9746,NM,13:00,24:00:00
3760 Hawkins St N E,Albuquerque,Rio Grande Brewing Co,5053430903,87109,NM,14:00,24:00:00
505 Cerrillos Rd,Albuquerque,Marble Brewery Santa Fe Tap Room,5059836259,87501,NM,13:00,2:00
302 N Carson St,Carson City,High Sierra Brewing Co,7758842739,89701,NV,12:00,24:00:00
3930 S Las Vegas Blvd,Las Vegas,Fat Tuesdays,7025972696,89119,NV,13:00,24:00:00
202 Fremont St,Las Vegas,Chicago Brewing Company,"8006346045, 7029245222, 7023854011",89101,NV,13:00,2:00
7459 W Murray Dr,Cicero,Coopers Landing,3156981536,13039,NY,13:00,24:00:00
1103 Erie Ave,N Tonawanda,Crickett Tavern,7166943678,14120-3506,NY,14:00,24:00:00
3355 Merrick Rd,Wantagh,Scuttlebutt Tavern,5167852888,11793-4315,NY,13:00,1:00
15 Park St,S Dayton,Rough Kutts,7169883100,14138-9632,NY,12:00,2:00
481 8th Ave,New York,Cooper's Tavern,2122688460,10001,NY,13:00,2:00
40 Bowden Sq,Southampton,Southampton Publick House,"(631) 283-2800, 6312832800",11968,NY,13:00,1:00
29 124th St,Troy,Scoreboard Saloon The,5182351948,12182-2019,NY,13:00,2:00
49 18 30th Ave,Woodside,The Brewery Bar & Kitchen,7187778007,11377,NY,13:00,2:00
120 Vestal Ave,Endicott,Snidely's,,13760-4918,NY,12:00,2:00
3297 Long Beach Rd,Oceanside,Chic Lounge,"5165435466, 5165435465",11572-5065,NY,14:00,2:00
37 Heath St,Lockport,Casa Montego Inc,7164334265,14094-1901,NY,13:00,2:00
168 Saratoga Ave,Mechanicville,Costanzo's Lounge Restaurant,5186649033,"12118, 12118-1115",NY,12:00,24:00:00
353 E Cuyahoga Falls Ave,Akron,Avenue Pub,3309289107,44310-2251,OH,14:00,1:00
40 S Meridian Rd,Youngstown,B Bg's,3307922235,44509-2638,OH,13:00,2:00
428 W Main St,Yukon,Tavern The,,73099-1218,OK,14:00,1:00
7701 N W 10th St,Oklahoma City,Martha's Tavern On Tenth,"4054400104, 405-440-0104","73127, 73127-4412",OK,12:00,24:00:00
2422 Main St,Springfield,Alibi Tavern,5419881402,97477,OR,14:00,24:00:00
82861 Parker Ln,Dexter,Buckhorn Tavern,5419372542,97431-9610,OR,13:00,1:00
123 Main St,Vanderbilt,Checkered Flag Sports Bar,7245290794,15486-1043,PA,13:00,2:00
2711 N 19th St,Philadelphia,Wilson Richard,2152250196,19132-2102,PA,13:00,24:00:00
224 Main St,Blossburg,Brick Tavern The,5706382917,16912-1138,PA,14:00,1:00
907 3rd Ave,New Brighton,Blue Marble The,7243841095,15066-1916,PA,13:00,24:00:00
7217 Frankford Ave,Philadelphia,Christy's Tavern,2154377303,"19135-1010, 19135",PA,12:00,2:00
238 S West St,Shenandoah,West Street Pub,5704629390,"17976, 17976-2245",PA,12:00,1:00
217 E Westmoreland St,Philadelphia,Vega's Lounge,2154261533,"19134-1627, 19134",PA,14:00,2:00
205 E 9th Ave,Homestead,Voodoo Brewery,4123688973,15120,PA,13:00,1:00
186 Fountain St,Providence,Trinity Brewhouse,4014532337,2903,RI,12:00,24:00:00
2247 W Shore Rd,Warwick,Boneyard Barbecue Saloon,4017360404,"02889-8440, 02889",RI,12:00,24:00:00
12 Bridge St,W Warwick,Pasc,4018213951,2893,RI,12:00,24:00:00
210 Coddington Hwy,Middletown,Coddington Brewing Co,4018476690,2842,RI,14:00,2:00
568 Park Ave,Portsmouth,Island Tap,"4016839881, 4016830937","02871, 02871-4938",RI,13:00,1:00
Oceanblvd,N Myrtle Beach,Rudys Beachside Bar,8433277113,29582,SC,12:00,24:00:00
12349 Old Number Six Hwy,Eutawville,Mr Dan's Subs Crossed Oras Tavern,8034923158,"29048-9171, 29048",SC,14:00,1:00
3157 Maybank Hwy,Johns Island,Seanachai Social Club,8436403778,29455,SC,12:00,2:00
1037 Camden Ave,Rock Hill,Silver Dollar 2.0,"8033247557, 8033244130","29732-3012, 29732",SC,14:00,1:00
313 N Main St,Anderson,Growler Haus,8642250057,29621,SC,14:00,1:00
23851 Highway 385,Hill City,Naked Winery & Sick-n-twisted Brewing Company,8663557889,57745,SD,13:00,24:00:00
127 N Broadway,Watertown,Dempsey's Brewery Pub & Restaurant,"(605) 882-9760, 16058829760, 605 882-9760, 6058829760",57201,SD,12:00,2:00
309 5th St,Brookings,Wooden Legs Brewing Company,6056922337,57006,SD,14:00,2:00
2513 Hospitality Ln,Columbia,Embers Tavern & Grille,9314890027,38401-0216,TN,12:00,24:00:00
601 Merritt Ave,Nashville,Corsair Artisan,"6154544871, 6157820225",37203,TN,12:00,1:00
317 Broadway (btw 3rd & 4th Ave S),Nashville,Broadway Brewhouse,6152712838,37201,TN,14:00,1:00
20801 Gulf Fwy,Webster,Daiqui-ritas Bar and Lounge,[[2813328111]],77598-6416,TX,13:00,24:00:00
2600 Main St,Dallas,Coppertank Brewery,[2147442739],75226,TX,13:00,24:00:00
2458 Fm 2458,Justiceburg,Bottom of The Hill,,79330,TX,12:00,1:00
423 Singleton Blvd,Dallas,Four Corners Brewing Co,"[2147482739], 2147482739",75212,TX,12:00,2:00
5022 Pinemont Dr,Houston,Brew House,,77092,TX,12:00,1:00
911 Franklin St,Houston,Brewery Tap,,77002,TX,13:00,2:00
565 Fm 1095,Palacios,El Maton National Hall Tavern,"3615881177, [3615881177]","77465, 77465-7203",TX,13:00,1:00
253 25th St,Ogden,Roosters Brewing Co,8016271353,84401,UT,12:00,2:00
12300 S 121 E,Draper,Wing Nutz,"8017277813, (801) 727-7813, 8017271947",84020,UT,12:00,2:00
147 W 300 S,Saltlakecity,Squatter's Pub Brewery,"8013632739, (801) 363-2739",84101,UT,12:00,2:00
111 N Robinson St,Richmond,Commercial Taphouse Grill,8043596544,23220,VA,14:00,2:00
404 Browning Ct,Purcellville,Adroit Theory Brewing Company,7037223144,20132,VA,14:00,1:00
520 Mill St N E,Vienna,Caboose Brewing Company,7038658580,22180,VA,14:00,2:00
829 Arch St,Pittsford,Cassidy's Hilltop Tavern,8024839373,"05763, 05763-9818",VT,14:00,24:00:00
2 Elm St,Waterbury,Prohibition Pig Brewery,"18022444120, 8.022447224E9",5676,VT,14:00,1:00
1072 W Lakeshore Dr,Colchester,Rozzi's Lakeshore Tavern,"(802) 863-2342, 8028632342",5446,VT,14:00,24:00:00
5 Main St,Bristol,Bobcat Cafe & Brewery,8024533311,"05443, 05443-1317",VT,13:00,1:00
426 S Massachusetts St,Seattle,3 Howls Distillery,"2067478400, 12067478400",98134,WA,13:00,2:00
425 E Bruneau Ave,Kennewick,Atwood's Tin Hat,5095864322,99336-3726,WA,12:00,1:00
1300 N Northlake Way,Seattle,Asgard Tavern,,98103,WA,13:00,1:00
W Madison,Madison,Bird's Basement Brewery,,53719,WI,14:00,1:00
19 W Central St,Chippewa Falls,Bar and Grill Chippewa Falls,7158613838,54729,WI,14:00,1:00
15294 W State Road 27 70,Stone Lake,Beechmoor Restaurant & Lounge,7158652482,54876-3040,WI,14:00,2:00
119 W Main St,Belleville,Borland's,6084243013,"53508-9320, 53508",WI,13:00,1:00
700 23rd St,Kenova,Golden Rail The,3044534276,25530-1622,WV,14:00,24:00:00
1401 19th St,Parkersburg,19th St Country Club,3044246336,26101-3415,WV,12:00,2:00
1956 7th St,Parkersburg,The Sixth Pence Pub LLC,3048655891,26101,WV,13:00,1:00
4717 Shepherdstown Rd,Martinsburg,5 Spot 3,3042628181,"25404-0115, 25404",WV,13:00,24:00:00
4337 Freedom Way,Weirton,Freedom Way Lounge,3047481900,26062,WV,14:00,1:00
2705 5th Ave,Huntington,R C Carryout R C Tavern,3047817773,25702,WV,13:00,24:00:00
1085 Van Voorhis Rd,Morgantown,Firkin and Fox,3045993475,26505,WV,12:00,2:00
70 New Jersey St,Wheeling,Third Alarm Bar,3042330511,26003-2343,WV,12:00,24:00:00
1293 University Ave,Morgantown,West Virginia Brewing Co,3042929731,26505,WV,13:00,1:00
210 Leon Sullivan Way,Charleston,Broadway,,25301,WV,13:00,24:00:00
108 E Grand Ave,Laramie,Coal Creek Tap,3074609556,82070,WY,13:00,2:00
