transactionids,items,quantity
91206,Kreamed Corn,5
82882,Canyon Cream Ale,5
82882,Ahi Tune Bruschetta,3
49153,Chicken Tortilla Soup,4
70732,Guacamole and Chips,5
70732,Yellow Wolf Imperial IPA,5
70732,Yellow Wolf Imperial IPA,4
68192,Bozone Hefe Weizen,4
74113,Hamburger,1
74113,Jack Stout,3
74113,Mediterranean Hummus,5
24661,Cant Dog Imperial Pale Ale,5
24661,Milkshake Stout,2
98223,Redband Stout,1
98223,Redband Stout,5
69015,Doomtree,1
91366,Pale Dog,3
23492,Chips and Salsa,3
23492,Boxer Light,2
23492,Boxer Light,2
20364,Dottie Seattle Lager,5
27228,El Rojo,1
60391,Nooner,5
60391,Sweet Potato Fries,1
66029,Guacamole and Chips,1
66029,Yellow Wolf Imperial IPA,1
12385,Jack's Hard Cider,5
12385,Boneless Wings,5
12385,Nooner,3
24123,Fried Calamari,2
24123,Dolores River Pale Ale,1
24123,Fried Calamari,5
45567,Guacamole and Chips,3
45567,Nordskye ,1
49895,Redacted Rye IPA,2
49895,Redband Stout,2
84298,Yeti  Imperial Stout,4
84298,Smooth Operator,2
84298,Jack Pine Savage,4
23319,Element 29,3
23319,Element 29,1
23319,Osiris Pale Ale,1
31107,Yellowfun Tempura Bites,4
31107,Yellowfun Tempura Bites,4
48640,Yellowfun Tempura Bites,3
48640,Cape Cod Red,3
48640,Caesar Salad,4
41679,Redacted Rye IPA,1
71312,El Steinber Dark Lager,2
71312,Midnight Ryder,5
71312,Chicken Tortilla Soup,4
25535,Fire Eagle IPA,4
46721,Capital Trail Pale Ale,2
66180,Hamburger,5
66180,Nooner,3
16015,La Ferme Urbaine Farmhouse Ale,2
75072,Chicken Taco,5
75072,Chicken Taco,2
75072,Abigale,1
77483,Garlic Bread,3
77483,French Onion Soup,3
48925,Osiris Pale Ale,3
48925,Red Mountain Ale,3
48925,KSA,4
94682,Milk Mustachio Stout,3
94682,Oberon,2
99103,Nordskye ,4
99103,Grilled Cheese Trio,1
99103,Nordskye ,3
31766,Nordic Blonde,4
83382,Cape Cod Red,4
96226,Cheeseburger,1
54686,Kreamed Corn,3
32928,Gose,1
32928,Gose,4
34474,Garlic Bread,2
41992,Jack Stout,5
41992,Redband Stout,3
41992,Redband Stout,1
83024,Paleo IPA,1
31114,Nordic Blonde,3
62728,Coconut Shrimp,5
80332,Yellowfun Tempura Bites,5
69885,Cant Dog Imperial Pale Ale,3
69885,Dottie Seattle Lager,5
88316,Fort Pitt Ale,2
88316,Boxer Light,5
60704,Boxer Light,3
60704,Gose,1
46324,La Frontera Premium IPA,1
71980,Pale Dog,5
43047,Canyon Cream Ale,1
43047,Onion Rings,5
43047,Nordskye ,5
49009,Red Mountain Ale,1
49009,Yeti  Imperial Stout,1
49009,Yeti  Imperial Stout,5
88075,Tomato Basil Soup,1
88075,Bozone Hefe Weizen,5
72165,Dolores River Pale Ale,1
74666,Red Water Irish Style Red,2
86976,Forest Fire Imperial Smoked Rye,4
61421,Dottie Seattle Lager,4
61421,Beef Taco,4
83364,Kreamed Corn,1
86519,Pretzels and Cheese Dip,2
35061,Osiris Pale Ale,2
35061,Snaggletooth Double Pale Ale,2
35061,Snaggletooth Double Pale Ale,5
44763,Pulled Pork Sliders,3
58511,Midwest Charm Farmhouse Ale,3
58511,Boxer Ice,1
97221,Cheese Pizza,5
97221,Agent a Deux,3
47534,Jack Stout,3
47534,Jack Stout,4
47534,Lobster Bisque,5
99622,Paleo IPA,4
62486,Fried Calamari,4
94601,Occidental Altbier,2
94601,Cant Dog Imperial Pale Ale,2
21641,Red Water Irish Style Red,1
21641,Boxer Light,2
11038,House Salad,4
11038,House Salad,1
11038,Cape Cod Red,1
66888,Kreamed Corn,5
66888,Agave Wheat,1
70717,Cape Cod Red,1
70717,Abigale,2
97356,Firefly Amber Ale,4
97356,Snaggletooth Double Pale Ale,5
16261,Buffalo Wings,1
82970,Gose,5
82970,House Salad,1
82970,Capital Trail Pale Ale,4
98616,Gose,1
98616,Firefly Amber Ale,2
32987,Crab Cakes,4
32987,Agave Wheat,1
32987,Agave Wheat,4
78529,French Onion Soup,2
78529,French Onion Soup,5
23276,Abigale,1
23276,Fire Eagle IPA,5
22165,Sweet Potato Fries,2
22165,Red Mountain Ale,4
84080,Onion Rings,2
14947,Cheese Pizza,3
78640,Nordskye ,2
78640,Nordskye ,2
88690,Milk Mustachio Stout,3
82265,Chicken Tortilla Soup,2
98454,Doomtree,1
96192,Abigale,5
96192,Osiris Pale Ale,1
67513,Doomtree,1
67513,Cheeseburger,1
66175,Boxer Light,3
66175,Canyon Cream Ale,5
33811,Smooth Operator,3
33811,Smooth Operator,5
10726,Cheese Pizza,4
10726,Boneless Wings,3
10726,Nordskye ,3
53597,Jade,1
53597,Jade,3
53597,Jack Stout,2
60485,Milkshake Stout,3
30531,Red Mountain Ale,1
24613,Agent a Deux,4
42580,Ahi Tune Bruschetta,4
42580,La Frontera Premium IPA,1
42580,Nooner,5
85035,Boneless Wings,4
85035,Boneless Wings,5
72122,Cape Cod Red,3
97226,Yellowstone Golden Ale,3
97226,Hamburger,3
88453,Nonstop Hef Hop,3
68895,Beef Taco,2
68895,Boneless Wings,5
68895,Boneless Wings,1
29314,La Frontera Premium IPA,1
29314,Graham Cracker Porter,2
80218,La Frontera Premium IPA,3
50307,Paleo IPA,2
38509,Yellowstone Golden Ale,5
27215,Crab Cakes,2
27215,Ahi Tune Bruschetta,3
51448,Redband Stout,2
51448,Dolores River Pale Ale,3
51448,Buffalo Wings,1
48827,French Onion Soup,1
48827,Chips and Salsa,5
48827,Lobster Bisque,5
35716,Yeti  Imperial Stout,2
97014,Yellow Wolf Imperial IPA,3
37693,Tomato Basil Soup,3
99362,Graham Cracker Porter,3
99362,Boxer Light,1
99155,Nachos,1
99155,Nachos,3
80117,Redacted Rye IPA,2
92766,Mediterranean Hummus,5
36031,Beef Taco,2
36031,Jack's Hard Cider,4
36031,Forest Fire Imperial Smoked Rye,5
93768,Smooth Operator,1
56157,Smooth Operator,5
56157,Bozone Hefe Weizen,3
49411,Ahi Tune Bruschetta,1
49411,El Rojo,5
57387,Snaggletooth Double Pale Ale,2
57387,Snaggletooth Double Pale Ale,3
57387,Dos Pistolas,4
26757,El Steinber Dark Lager,5
26757,Boxer Ice,2
26757,Boxer Ice,4
68931,Spinach and Artichoke Dip,2
68931,Osiris Pale Ale,5
50736,Midwest Charm Farmhouse Ale,1
50736,Redacted Rye IPA,4
50736,Dos Pistolas,2
66677,Pale Dog,5
66677,Paleo IPA,1
69365,Garlic Bread,2
23695,Fried Calamari,2
23695,Cheeseburger,1
35400,Milkshake Stout,4
35400,El Steinber Dark Lager,3
35400,Milkshake Stout,2
77501,Grilled Cheese Trio,2
77501,Gossamer Golden Ale,2
77501,Capital Trail Pale Ale,3
37530,House Salad,4
15637,Jack the Sipper,1
15637,Jack the Sipper,5
20884,Hamburger,5
20884,Dolores River Pale Ale,2
40814,Snaggletooth Double Pale Ale,4
40814,Boxer Ice,1
40814,Gose,2
65831,Element 29,3
60011,Cheeseburger,1
28696,Pulled Pork Sliders,5
28696,Jack Stout,5
45897,Jack Stout,3
45696,Pale Dog,1
45696,Boneless Wings,3
56172,Spinach and Artichoke Dip,5
56172,Chicken Taco,5
56172,Graham Cracker Porter,3
98828,Pretzels and Cheese Dip,1
98828,Beef Taco,1
98828,Foreman,4
27504,Bozone Hefe Weizen,2
27504,Chips and Salsa,2
32235,Gran Met,1
32235,Alaskan Amber,5
32235,Gran Met,5
89532,Nooner,4
16121,Gose,4
16121,Gose,3
16121,Firefly Amber Ale,3
86848,Boy King,5
53489,Nordskye ,1
53489,Cant Dog Imperial Pale Ale,5
53489,Coleslaw,3
33878,Redacted Rye IPA,1
33878,French Onion Soup,3
59599,Capital Trail Pale Ale,3
59599,Dottie Seattle Lager,4
56615,Lobster Bisque,2
78437,Snake Dog IPA,1
78437,Midwest Charm Farmhouse Ale,1
78437,Agent a Deux,1
67497,Dos Pistolas,4
85550,Jack Pine Savage,1
85550,Alaskan Amber,1
69124,Chicken Tortilla Soup,3
69124,Boxer Ice,4
23129,Gossamer Golden Ale,3
23129,Yeti  Imperial Stout,5
44806,Milk Mustachio Stout,5
44806,Kreamed Corn,4
94674,Tomato Basil Soup,3
94674,Fire Eagle IPA,3
94674,Fire Eagle IPA,2
39628,Coconut Shrimp,1
39628,Cape Cod Red,3
45309,Capital Trail Pale Ale,5
75777,Chips and Salsa,4
75777,El Rojo,2
75777,Lobster Bisque,4
69233,Dolores River Pale Ale,1
69233,Dolores River Pale Ale,3
32053,Nachos,4
11521,Kreamed Corn,3
11521,Kreamed Corn,1
11521,Jack Stout,2
86371,Dos Pistolas,1
86371,Dos Pistolas,5
49701,Fries,4
49701,Nooner,3
87542,Paleo IPA,1
41191,Mozarella Sticks,1
71380,Beef Taco,4
69567,Chicken Taco,4
69567,Fire Eagle IPA,5
69567,Chicken Taco,5
45173,Dottie Seattle Lager,3
14813,Chicken Taco,4
73358,Canyon Cream Ale,5
73358,Redacted Rye IPA,5
59298,Doomtree,3
59298,Coleslaw,2
10563,Cant Dog Imperial Pale Ale,2
81197,Milkshake Stout,1
63368,Jack's Hard Cider,4
15085,Osiris Pale Ale,4
35274,Smooth Operator,4
35274,Snaggletooth Double Pale Ale,1
96698,Midnight Ryder,5
96698,Coleslaw,3
94764,Forest Fire Imperial Smoked Rye,3
94764,Midwest Charm Farmhouse Ale,1
52725,French Onion Soup,3
52725,Lobster Bisque,2
52725,Nordic Blonde,5
73026,Paleo IPA,5
73026,Paleo IPA,4
33244,Cape Cod Red,3
33244,Capital Trail Pale Ale,4
33244,Nachos,3
18159,El Rojo,2
18159,Lobster Bisque,3
18159,French Onion Soup,1
82932,Jack Stout,5
82932,Redacted Rye IPA,5
49046,Guacamole and Chips,1
49046,Guacamole and Chips,4
49046,Mediterranean Hummus,2
68770,Jack's Hard Cider,4
68770,Grilled Chicken Quesadilla,2
68770,Cape Cod Red,3
30114,Cheeseburger,5
30114,Capital Gold Golden Lager,4
30114,Caesar Salad,4
99331,El Steinber Dark Lager,4
61640,Fort Pitt Ale,1
54562,Snake Dog IPA,1
54562,Dottie Seattle Lager,3
54562,Snaggletooth Double Pale Ale,5
33408,Chips and Salsa,2
33408,Pulled Pork Sliders,3
45389,Gose,2
45389,Jade,1
45389,Yellowstone Golden Ale,5
43954,Pale Dog,3
45581,Dottie Seattle Lager,2
45581,Midwest Charm Farmhouse Ale,3
45398,Dolores River Pale Ale,1
42246,Alaskan Amber,5
42246,Coconut Shrimp,1
40454,Smoky Wheat,3
70399,Grilled Chicken Quesadilla,1
70399,El Rojo,1
53038,Jack's Hard Cider,1
53038,Jack's Hard Cider,5
53038,Cheese Pizza,3
34922,KSA,2
40733,KSA,3
12859,Chicken Tortilla Soup,4
12859,Element 29,5
28759,Boxer Ice,2
28759,Snaggletooth Double Pale Ale,5
28759,Gose,1
57451,Fire Eagle IPA,2
57451,Jack the Sipper,5
57451,Boxer Ice,4
32428,Grilled Cheese Trio,1
49742,Jack Stout,2
49742,Osiris Pale Ale,2
49742,Osiris Pale Ale,4
97592,Midwest Charm Farmhouse Ale,5
97592,Midwest Charm Farmhouse Ale,4
58685,KSA,3
35335,Coleslaw,3
47111,Jack's Hard Cider,4
47111,Smooth Operator,4
33319,Smooth Operator,3
33319,Bozone Hefe Weizen,2
48630,House Salad,1
48630,Fried Calamari,4
61436,Fire Eagle IPA,5
66063,Smoky Wheat,5
66063,Yellowstone Golden Ale,3
52491,Gran Met,4
52491,Alaskan Amber,4
52491,Gran Met,1
56710,Agent a Deux,5
56710,Element 29,1
40070,Boy King,3
40070,Nachos,1
40070,Jack the Sipper,2
86732,Snake Dog IPA,4
93979,Coconut Shrimp,5
93979,Fort Pitt Ale,2
64439,Gran Met,4
61210,Pale Dog,2
61210,Onion Rings,5
94564,Might As Well IPL,5
73008,Buffalo Wings,3
73008,Jack the Sipper,2
73008,Jack the Sipper,4
59403,Grilled Chicken Quesadilla,4
59403,Midwest Charm Farmhouse Ale,3
71365,KSA,1
71365,Alaskan Amber,1
71365,Jack's Hard Cider,3
76495,KSA,4
76495,Oberon,1
76495,KSA,3
60872,Gossamer Golden Ale,4
60872,Yellow Wolf Imperial IPA,3
60872,Yellowstone Golden Ale,3
49512,Boxer Light,2
62406,Milkshake Stout,5
62406,Foreman,4
24528,Pretzels and Cheese Dip,4
24528,Guacamole and Chips,3
88757,Capital Trail Pale Ale,5
88757,Capital Trail Pale Ale,1
88757,Bozone Hefe Weizen,5
61928,Ahi Tune Bruschetta,2
61928,Dolores River Pale Ale,3
79909,Chicken Tortilla Soup,5
94401,Nachos,4
57144,Kale Salad,4
57144,KSA,5
57144,KSA,2
20347,Cape Cod Red,5
20347,Kreamed Corn,2
54188,Midnight Ryder,2
14563,Agave Wheat,3
14563,Dottie Seattle Lager,4
14563,Agave Wheat,4
69527,Redacted Rye IPA,5
57651,Jack's Hard Cider,5
57651,Coconut Shrimp,2
57651,Grilled Cheese Trio,5
27357,Nachos,4
27357,Boy King,2
27357,Boxer Ice,5
20819,Garlic Bread,2
20819,Capital Trail Pale Ale,1
20819,Fire Eagle IPA,1
71973,Paleo IPA,2
71973,Guacamole and Chips,3
34007,Cheeseburger,1
57919,Elder Betty,5
57919,Coconut Shrimp,1
74003,Jack's Hard Cider,3
74003,Cape Cod Red,2
74003,Grilled Chicken Quesadilla,1
70599,Boxer Light,3
77173,Onion Rings,2
77173,Guacamole and Chips,4
77173,Canyon Cream Ale,2
48080,Pulled Pork Sliders,3
48080,Pulled Pork Sliders,3
83148,Might As Well IPL,3
83148,Crab Cakes,5
83148,Might As Well IPL,3
77539,Fried Calamari,5
89815,Midwest Charm Farmhouse Ale,2
92907,Kale Salad,5
92907,Boneless Wings,2
11899,Paleo IPA,4
11899,Paleo IPA,5
67344,Agent a Deux,1
67344,Nordskye ,3
38417,Yellow Collar,4
38417,Element 29,1
38417,Milkshake Stout,4
20924,Capital Trail Pale Ale,5
20924,Dolores River Pale Ale,2
20924,Foreman,3
32347,Milk Mustachio Stout,3
45780,Spinach and Artichoke Dip,1
45780,Osiris Pale Ale,2
45780,Forest Fire Imperial Smoked Rye,2
58278,Chicken Taco,3
58278,Agent a Deux,2
90634,Boxer Light,1
90634,Boxer Light,2
57056,El Rojo,4
71189,Agent a Deux,4
75082,Grilled Cheese Trio,3
63306,Caesar Salad,2
61959,Gose,1
61959,Snake Dog IPA,5
46766,Onion Rings,3
46766,El Rojo,1
46766,Nonstop Hef Hop,5
86701,House Salad,1
86701,House Salad,1
13993,KSA,2
25420,Yellow Collar,3
25420,Alaskan Amber,2
25420,Alaskan Amber,5
36091,Nordskye ,1
36091,Nordskye ,4
57813,Midwest Charm Farmhouse Ale,5
57813,Element 29,4
82725,Smoky Wheat,3
82725,Chicken Taco,1
82725,Smoky Wheat,3
16882,Fries,2
16882,Fries,1
25262,Gran Met,3
72298,Red Mountain Ale,4
45084,Mediterranean Hummus,2
45084,Mediterranean Hummus,3
35016,Akari Shogun American Wheat Ale,1
35016,Akari Shogun American Wheat Ale,1
96005,Beef Taco,1
96005,Caesar Salad,5
85091,Smooth Operator,1
85091,Nooner,3
25705,Agent a Deux,1
25705,Occidental Altbier,1
13450,Nooner,5
13450,Nooner,5
13450,Nooner,2
41691,Jack Pine Savage,2
39118,El Steinber Dark Lager,3
39118,Boxer Light,3
39118,Grilled Chicken Quesadilla,4
55456,Nooner,4
78176,Redacted Rye IPA,2
78176,Ahi Tune Bruschetta,1
78176,Crab Cakes,1
53901,Dottie Seattle Lager,2
92800,Red Mountain Ale,4
52389,Jade,5
52389,Cheese Pizza,5
21206,Oberon,5
85501,Nooner,1
85501,Oberon,3
51111,Boxer Light,5
51111,Nordskye ,5
61386,Boy King,5
61386,Smoky Wheat,4
13376,Kale Salad,1
13376,Elder Betty,5
13376,Elder Betty,1
18195,Forest Fire Imperial Smoked Rye,1
18195,Midwest Charm Farmhouse Ale,5
18195,Fort Pitt Ale,5
89691,Boneless Wings,3
38836,Agave Wheat,3
38836,Gossamer Golden Ale,1
35449,Crab Cakes,4
46440,Pale Dog,4
46440,Pale Dog,3
10658,Onion Rings,1
86358,Cheeseburger,4
86358,Snake Dog IPA,2
51873,Yellow Wolf Imperial IPA,2
11394,Bozone Hefe Weizen,3
11394,Gran Met,1
54215,Bozone Hefe Weizen,4
93286,Spinach and Artichoke Dip,1
36893,Garlic Bread,1
58989,Boxer Ice,4
99081,Redacted Rye IPA,4
94892,Dottie Seattle Lager,1
94892,Dottie Seattle Lager,4
94892,Dottie Seattle Lager,3
71955,Yellow Wolf Imperial IPA,2
71955,Fire Eagle IPA,5
71955,Nonstop Hef Hop,5
99964,Paleo IPA,4
41339,Mediterranean Hummus,1
66454,Snake Dog IPA,1
66454,Fried Calamari,2
66454,Kale Salad,1
73168,Midnight Ryder,4
47813,Cheese Pizza,1
53310,La Ferme Urbaine Farmhouse Ale,1
53310,La Ferme Urbaine Farmhouse Ale,1
53310,La Ferme Urbaine Farmhouse Ale,4
32048,Hamburger,4
32048,Fort Pitt Ale,4
32048,Sweet Potato Fries,2
64307,Dolores River Pale Ale,2
37682,Garlic Bread,4
37682,House Salad,3
66261,Element 29,1
91887,Dos Pistolas,2
91887,Nooner,4
91887,Midnight Ryder,4
88095,Firefly Amber Ale,1
88095,La Frontera Premium IPA,1
25584,Spinach and Artichoke Dip,4
25584,Chips and Salsa,2
66133,Forest Fire Imperial Smoked Rye,5
66133,Midwest Charm Farmhouse Ale,1
66133,Midwest Charm Farmhouse Ale,3
88828,Fried Calamari,3
88828,Hamburger,3
50852,Paleo IPA,2
50852,Paleo IPA,5
50852,Paleo IPA,2
82019,Forest Fire Imperial Smoked Rye,5
11631,Cheese Pizza,2
11631,Yellow Wolf Imperial IPA,2
11631,Capital Trail Pale Ale,3
16213,Midwest Charm Farmhouse Ale,3
16213,Grilled Chicken Quesadilla,2
21031,El Rojo,5
21031,El Rojo,1
98481,Lobster Bisque,2
98481,Snaggletooth Double Pale Ale,5
91640,Milkshake Stout,4
61269,Snaggletooth Double Pale Ale,5
87654,Dottie Seattle Lager,3
87654,Jack's Hard Cider,3
87654,Dottie Seattle Lager,2
75143,Beef Taco,2
75143,Milk Mustachio Stout,5
50319,Kale Salad,3
50319,Dolores River Pale Ale,3
50319,Dolores River Pale Ale,4
82817,Guacamole and Chips,2
82817,Canyon Cream Ale,2
82817,Guacamole and Chips,2
28176,Grilled Chicken Quesadilla,3
76451,Boxer Light,4
99258,Nooner,4
99258,Fries,1
99258,Alaskan Amber,5
80786,Milk Mustachio Stout,3
80786,Boneless Wings,1
80786,Cape Cod Red,3
84553,Cheeseburger,2
95941,Osiris Pale Ale,5
28439,Boy King,4
40078,La Frontera Premium IPA,4
40078,Canyon Cream Ale,2
40078,La Frontera Premium IPA,2
68308,Pulled Pork Sliders,4
68308,Mozarella Sticks,5
68308,Midwest Charm Farmhouse Ale,5
87090,Elder Betty,1
26475,Caesar Salad,4
26475,La Frontera Premium IPA,1
26475,Dottie Seattle Lager,4
89172,Mediterranean Hummus,3
89172,Gose,2
89172,Chicken Tortilla Soup,3
22918,Fried Calamari,3
22918,Fried Calamari,5
22918,Fried Calamari,3
15465,Alaskan Amber,4
11759,Dottie Seattle Lager,3
14661,Forest Fire Imperial Smoked Rye,2
65035,Yellow Collar,2
65035,Yellow Collar,1
47622,Bozone Hefe Weizen,1
47622,Bozone Hefe Weizen,3
47622,Boxer Ice,4
88614,Lobster Bisque,1
33880,Jack Pine Savage,3
91933,Fried Calamari,2
91933,Cheeseburger,3
99121,El Rojo,3
36957,Buffalo Wings,5
36957,Yeti  Imperial Stout,5
30813,Forest Fire Imperial Smoked Rye,1
30813,Might As Well IPL,4
30813,Jack's Hard Cider,3
49733,Caesar Salad,1
49733,Hamburger,5
35232,Jack the Sipper,5
35232,Tomato Basil Soup,1
35232,Paleo IPA,3
12383,Dos Pistolas,5
12383,Capital Trail Pale Ale,5
12383,Chips and Salsa,4
78850,Red Water Irish Style Red,2
78850,Red Water Irish Style Red,4
78850,Smoky Wheat,1
69669,Paleo IPA,2
50270,Coleslaw,4
50270,Coleslaw,1
30493,Oberon,2
91684,Ahi Tune Bruschetta,4
86958,Cape Cod Red,2
86958,Abigale,4
86958,Elder Betty,2
56176,Guacamole and Chips,3
53350,KSA,4
53350,House Salad,5
33507,Jack Stout,5
33507,KSA,5
84609,Paleo IPA,4
24171,Garlic Bread,2
24171,Boxer Light,3
24171,Canyon Cream Ale,3
42212,Fried Calamari,2
75647,Cape Cod Red,3
18404,Nordskye ,4
18404,Capital Trail Pale Ale,4
18404,Gose,4
53209,KSA,2
53209,KSA,5
53209,KSA,1
69985,House Salad,2
69985,Nordskye ,5
27229,Chicken Taco,5
27229,Agent a Deux,4
27229,Capital Trail Pale Ale,2
87889,Snaggletooth Double Pale Ale,2
87889,Caesar Salad,2
49611,Redband Stout,1
57348,Snaggletooth Double Pale Ale,5
57348,Cheese Pizza,3
57348,Snaggletooth Double Pale Ale,3
54666,Coleslaw,2
95852,Akari Shogun American Wheat Ale,4
78130,La Frontera Premium IPA,5
78130,El Steinber Dark Lager,5
44493,Crab Cakes,4
44493,Nooner,3
58306,Capital Trail Pale Ale,2
88898,Yellow Wolf Imperial IPA,3
47846,Kale Salad,1
47846,Yeti  Imperial Stout,2
29972,Gran Met,4
29972,Smooth Operator,5
29972,Smooth Operator,3
84909,Spinach and Artichoke Dip,3
84909,La Frontera Premium IPA,4
84909,La Frontera Premium IPA,2
81835,Cheese Pizza,5
81835,Graham Cracker Porter,4
60594,Snaggletooth Double Pale Ale,1
62846,Cheese Pizza,3
13821,Cape Cod Red,2
13821,Jack the Sipper,2
81295,Boy King,3
81295,Mozarella Sticks,3
77461,Lobster Bisque,3
19884,Spinach and Artichoke Dip,1
19884,Snaggletooth Double Pale Ale,5
19884,Snaggletooth Double Pale Ale,3
19829,Spinach and Artichoke Dip,5
19829,El Steinber Dark Lager,3
88983,Oberon,1
88983,Sweet Potato Fries,4
88983,Pretzels and Cheese Dip,3
49797,Dottie Seattle Lager,3
84389,Gran Met,5
84389,Chicken Tortilla Soup,5
65428,Alaskan Amber,5
24309,Grilled Chicken Quesadilla,2
24309,Dolores River Pale Ale,3
24309,Yellowfun Tempura Bites,5
13277,Mozarella Sticks,2
13277,Bozone Hefe Weizen,3
95656,Jack Stout,3
95656,Boxer Light,1
95656,Akari Shogun American Wheat Ale,3
81325,Yellow Collar,3
81325,Onion Rings,5
56587,Dottie Seattle Lager,3
38133,Buffalo Wings,3
38133,Milkshake Stout,5
96002,Jack the Sipper,5
76944,Pretzels and Cheese Dip,5
49241,Capital Trail Pale Ale,2
34475,Snake Dog IPA,5
51250,Foreman,2
89710,Hamburger,2
89710,Garlic Bread,3
89710,Hamburger,2
54176,Boneless Wings,2
45333,Grilled Cheese Trio,2
45333,Kale Salad,3
16821,Ahi Tune Bruschetta,4
16821,Nooner,5
16821,La Frontera Premium IPA,1
85822,Jack Pine Savage,3
90392,Ahi Tune Bruschetta,4
90392,Ahi Tune Bruschetta,5
90392,Pretzels and Cheese Dip,4
72304,Midnight Ryder,3
72304,Nooner,2
72304,Nooner,4
90340,Snaggletooth Double Pale Ale,2
90340,Coconut Shrimp,4
90340,Osiris Pale Ale,3
70816,Elder Betty,5
73677,Elder Betty,1
73677,Onion Rings,5
32641,Jack Pine Savage,2
32641,Nordic Blonde,5
32641,Buffalo Wings,4
25567,Boneless Wings,5
25567,Coleslaw,3
25567,Coleslaw,1
32305,Caesar Salad,2
32305,Agave Wheat,3
32305,Onion Rings,3
66764,Forest Fire Imperial Smoked Rye,4
98114,Cant Dog Imperial Pale Ale,3
98114,La Frontera Premium IPA,2
98114,Coleslaw,1
12150,Abigale,3
12150,Abigale,5
12150,Grilled Chicken Quesadilla,5
60033,Mediterranean Hummus,4
57380,Fire Eagle IPA,1
57380,Red Mountain Ale,4
90095,Caesar Salad,2
90095,Caesar Salad,4
35390,Jack Pine Savage,3
35390,Boneless Wings,4
35390,Pale Dog,5
27262,Milk Mustachio Stout,5
64622,Lobster Bisque,3
64622,Yeti  Imperial Stout,4
68357,Smooth Operator,1
68357,Element 29,2
68357,Nachos,2
89769,Cheese Pizza,2
89769,Fort Pitt Ale,4
57354,Spinach and Artichoke Dip,3
69780,Mediterranean Hummus,1
92436,Milkshake Stout,3
68022,Element 29,5
68022,Nooner,1
96695,Cheese Pizza,5
96695,Kreamed Corn,5
58844,Red Mountain Ale,3
58844,Midnight Ryder,5
93183,Might As Well IPL,4
93183,Agave Wheat,1
93183,Gossamer Golden Ale,1
92668,Lobster Bisque,1
92668,Yeti  Imperial Stout,5
92668,Dottie Seattle Lager,5
78038,Yeti  Imperial Stout,4
17265,Buffalo Wings,3
90324,Kreamed Corn,5
