transactionids,times,dates
53195,17:01,2-13-2016
51778,15:44,5-19-2016
13538,21:23,12-6-2016
81190,19:07,9-3-2016
31082,14:14,5-2-2016
62262,21:32,1-12-2016
27758,14:46,3-23-2016
32786,22:18,2-23-2016
17645,17:38,8-10-2016
50011,23:57,8-26-2016
54720,23:18,7-14-2016
58690,17:51,12-9-2016
22611,20:38,1-13-2016
11030,17:36,10-22-2016
72167,19:28,7-17-2016
69203,23:16,10-27-2016
20168,21:24,7-10-2016
41898,15:34,9-4-2016
76042,21:02,9-23-2016
25819,22:42,9-25-2016
83495,16:06,7-27-2016
37298,19:57,3-2-2016
32538,19:27,12-25-2016
64018,17:28,12-11-2016
91233,20:00,4-11-2016
47087,17:25,3-21-2016
84952,17:47,8-16-2016
75575,17:58,10-3-2016
28392,15:44,6-25-2016
95705,23:35,6-17-2016
71312,22:07,9-28-2016
17871,17:13,10-20-2016
92910,15:24,1-13-2016
74111,14:14,11-22-2016
71962,16:06,2-20-2016
54896,20:39,7-5-2016
76924,19:02,5-2-2016
54760,22:28,7-6-2016
19686,21:14,5-17-2016
58971,21:34,10-28-2016
36585,18:03,5-13-2016
68511,23:02,12-24-2016
14997,14:02,6-16-2016
24562,21:10,10-10-2016
19395,20:26,10-21-2016
42189,14:09,4-6-2016
63801,20:32,3-17-2016
71687,21:45,10-23-2016
64399,17:41,6-24-2016
63709,20:27,8-22-2016
67764,17:10,1-23-2016
59639,21:33,11-16-2016
28372,16:15,4-8-2016
49567,22:21,5-23-2016
44541,18:25,7-22-2016
13140,17:03,9-23-2016
88906,17:59,4-8-2016
18490,20:04,8-8-2016
39626,22:43,5-17-2016
42600,17:44,12-1-2016
82384,14:15,7-8-2016
17063,23:54,4-22-2016
51579,22:12,1-2-2016
87057,15:25,5-23-2016
94271,21:35,1-27-2016
59672,14:59,9-22-2016
81710,15:10,1-24-2016
33013,20:30,12-12-2016
21022,17:59,8-1-2016
74218,14:10,8-6-2016
63740,18:42,11-12-2016
50554,20:49,4-28-2016
35442,17:10,3-22-2016
43510,16:42,10-28-2016
32843,14:33,4-17-2016
39547,20:35,7-14-2016
50106,15:45,6-12-2016
78995,21:52,7-19-2016
27816,15:01,8-19-2016
25195,19:57,4-23-2016
38834,17:51,5-6-2016
22873,19:55,8-28-2016
98411,17:50,10-13-2016
70717,15:06,5-19-2016
30221,16:28,7-1-2016
61360,16:18,10-11-2016
14365,19:13,6-7-2016
13060,22:41,5-6-2016
37920,20:08,4-18-2016
77818,20:25,10-21-2016
54893,16:56,2-27-2016
54188,17:06,1-12-2016
68409,23:21,9-27-2016
99266,15:46,10-20-2016
89975,23:29,1-27-2016
37185,23:29,10-15-2016
97330,19:57,10-23-2016
35605,20:59,6-1-2016
21792,19:11,4-18-2016
26714,23:04,10-11-2016
21338,23:49,11-6-2016
85100,21:52,7-10-2016
68591,20:23,4-26-2016
41464,14:52,5-12-2016
28952,22:19,5-8-2016
86809,18:05,3-21-2016
96655,14:11,1-8-2016
47569,15:23,6-16-2016
96566,18:03,12-5-2016
45984,23:01,8-14-2016
13347,22:01,4-27-2016
84297,19:27,4-12-2016
88231,14:08,1-2-2016
10716,21:34,10-20-2016
70705,14:40,4-24-2016
61441,17:01,2-3-2016
34575,21:50,4-19-2016
13554,16:06,1-26-2016
93110,16:43,7-2-2016
54306,18:26,12-3-2016
68769,19:49,4-4-2016
66860,17:18,4-28-2016
88745,17:48,10-18-2016
21958,23:31,5-9-2016
23823,16:47,9-25-2016
19236,17:03,4-5-2016
91525,14:19,1-13-2016
49739,21:19,1-27-2016
65851,18:09,4-15-2016
35925,18:40,9-22-2016
89330,18:50,4-26-2016
62817,22:09,10-9-2016
12208,19:26,11-25-2016
74282,20:14,1-14-2016
61131,18:32,10-18-2016
80534,18:12,4-2-2016
25743,14:15,4-10-2016
35987,21:53,12-8-2016
15160,15:03,11-17-2016
59924,19:51,10-24-2016
45464,14:26,9-3-2016
15137,19:29,4-12-2016
97442,18:35,4-11-2016
74692,20:11,1-19-2016
54805,23:16,7-22-2016
68934,18:11,7-13-2016
43189,19:49,11-15-2016
13201,19:52,7-8-2016
44976,15:03,3-23-2016
57197,15:53,8-14-2016
21004,15:48,10-18-2016
99219,20:27,9-21-2016
68989,23:16,11-28-2016
45206,16:12,12-25-2016
74556,19:49,2-2-2016
67255,14:59,3-24-2016
76991,18:31,8-22-2016
66667,14:06,8-4-2016
43704,20:42,11-10-2016
81946,17:40,9-9-2016
72775,20:01,2-24-2016
96056,21:25,9-27-2016
94168,17:57,10-28-2016
70255,22:15,12-5-2016
26073,23:53,6-17-2016
71872,15:41,8-3-2016
22650,14:11,4-8-2016
75676,21:03,11-23-2016
35434,14:09,7-10-2016
43776,21:52,6-6-2016
46923,17:09,10-13-2016
74348,16:31,11-14-2016
39981,16:44,2-17-2016
75574,23:24,11-3-2016
26685,14:03,2-10-2016
22845,19:18,1-26-2016
41231,16:55,5-28-2016
38897,22:20,4-24-2016
35001,14:29,3-20-2016
51454,18:15,10-12-2016
15810,17:42,4-7-2016
96311,16:24,8-19-2016
90612,17:24,9-12-2016
43201,22:53,7-5-2016
84651,15:48,8-9-2016
84337,23:23,7-7-2016
35799,22:31,12-3-2016
33558,18:45,7-25-2016
57562,20:36,6-26-2016
43195,15:37,9-28-2016
90922,19:11,2-18-2016
63473,15:37,4-8-2016
24964,17:26,11-6-2016
19444,23:08,2-20-2016
74946,16:56,10-14-2016
26885,18:40,10-15-2016
50434,22:10,6-28-2016
74006,14:30,7-23-2016
65936,22:58,6-18-2016
83514,18:17,7-27-2016
12414,21:45,7-23-2016
45412,18:32,10-10-2016
72821,17:18,2-9-2016
51672,15:14,10-20-2016
25857,19:28,5-19-2016
73803,15:31,11-2-2016
50818,17:06,9-4-2016
86074,14:20,8-12-2016
81541,14:49,2-10-2016
20037,18:21,9-27-2016
46166,15:46,1-18-2016
32572,14:00,11-21-2016
20940,18:05,9-26-2016
32355,19:12,3-21-2016
84389,23:48,6-13-2016
49356,20:54,9-2-2016
29864,17:44,2-5-2016
66777,22:58,2-13-2016
70539,14:32,9-27-2016
19740,18:32,2-26-2016
53243,21:10,11-20-2016
42567,21:04,5-21-2016
18334,17:44,5-4-2016
90773,15:32,3-7-2016
35751,16:18,7-24-2016
92935,16:38,4-1-2016
13641,22:03,4-12-2016
40547,15:55,8-20-2016
96339,18:39,9-17-2016
38104,23:31,3-16-2016
53966,16:18,10-1-2016
29718,14:42,6-23-2016
72103,23:32,9-10-2016
68209,15:43,8-4-2016
14499,18:51,8-3-2016
60036,17:36,10-9-2016
23977,19:54,12-19-2016
35520,15:57,3-17-2016
44859,22:46,7-17-2016
71236,16:58,6-5-2016
46979,16:47,8-21-2016
33548,14:42,5-22-2016
65365,17:39,10-23-2016
43913,20:08,7-24-2016
27644,15:12,10-10-2016
30705,14:13,6-13-2016
85018,22:47,4-19-2016
30323,22:10,2-12-2016
39140,16:30,1-21-2016
66829,21:38,4-5-2016
32534,20:12,5-8-2016
96254,19:43,7-8-2016
59718,20:32,4-26-2016
78850,22:05,1-16-2016
16429,16:31,1-8-2016
66488,23:18,1-24-2016
92740,19:14,9-21-2016
81846,15:23,8-24-2016
24332,17:06,8-28-2016
61888,18:44,9-10-2016
30571,23:32,5-21-2016
86884,14:06,4-23-2016
84889,18:23,9-9-2016
83660,15:41,8-4-2016
43298,23:01,2-2-2016
58610,14:58,10-5-2016
19466,19:12,4-17-2016
53388,18:09,4-13-2016
20209,16:27,12-10-2016
71996,14:23,12-13-2016
94348,14:05,11-16-2016
47778,23:31,1-16-2016
15436,14:12,10-12-2016
77023,21:31,2-25-2016
94258,19:00,12-22-2016
23031,16:57,4-19-2016
53087,19:06,5-18-2016
68913,21:41,5-8-2016
50379,21:45,6-2-2016
23111,22:52,6-15-2016
73625,20:02,12-25-2016
92129,23:05,11-11-2016
17483,21:52,3-19-2016
17337,17:36,10-9-2016
95948,22:45,3-24-2016
58767,21:07,7-6-2016
93722,23:10,4-23-2016
88172,16:26,5-19-2016
79942,15:49,5-14-2016
52071,16:16,6-24-2016
51965,18:41,3-16-2016
93135,22:50,3-14-2016
29740,21:17,9-2-2016
28116,20:22,3-28-2016
71588,15:00,6-16-2016
38443,15:28,2-25-2016
41110,17:55,6-28-2016
30123,16:08,12-26-2016
46635,20:24,12-20-2016
29384,21:57,2-1-2016
80174,20:22,11-8-2016
76611,16:57,9-22-2016
92224,14:48,1-22-2016
44645,21:18,10-6-2016
83546,17:05,12-3-2016
82518,19:54,7-26-2016
48504,14:47,2-12-2016
84858,14:01,5-14-2016
61591,20:51,1-22-2016
39079,22:43,11-26-2016
21629,17:39,9-17-2016
13434,21:48,9-16-2016
70788,22:38,4-3-2016
43199,22:41,2-25-2016
26235,15:50,8-18-2016
91006,19:18,2-14-2016
26202,21:45,7-14-2016
72370,18:37,4-10-2016
37802,15:41,5-17-2016
81680,19:20,4-10-2016
62001,23:03,4-23-2016
99507,17:45,4-23-2016
21944,14:43,10-11-2016
95569,20:40,7-9-2016
43141,20:18,5-2-2016
58804,14:47,10-13-2016
25210,21:35,7-16-2016
79655,17:11,4-23-2016
82281,16:56,7-20-2016
90886,20:57,3-22-2016
97366,18:09,5-26-2016
74288,17:22,9-12-2016
35229,16:12,6-14-2016
25159,18:13,4-8-2016
87536,19:27,12-15-2016
89187,19:24,9-24-2016
65698,22:07,3-5-2016
47846,22:41,6-25-2016
80218,18:42,2-22-2016
76569,14:42,5-19-2016
26590,21:46,11-24-2016
62746,15:51,5-23-2016
15403,21:58,9-11-2016
75843,15:09,5-2-2016
50866,19:55,1-2-2016
14280,14:06,7-3-2016
72082,19:54,12-3-2016
74964,15:10,3-14-2016
61564,16:31,11-25-2016
68453,15:00,11-16-2016
50448,19:19,3-19-2016
74185,20:24,10-9-2016
78025,21:42,8-8-2016
19445,18:33,9-15-2016
54530,16:02,2-2-2016
52183,16:24,3-25-2016
98529,19:47,8-1-2016
79568,16:56,3-14-2016
33746,15:27,12-28-2016
60102,15:50,1-10-2016
34585,23:32,2-20-2016
63914,20:02,2-12-2016
93596,23:33,7-7-2016
21749,16:21,3-5-2016
95916,18:26,6-11-2016
21858,14:28,8-2-2016
96171,15:44,5-27-2016
82631,20:40,9-3-2016
94600,17:43,3-5-2016
28554,19:12,1-27-2016
55824,17:51,4-20-2016
95406,20:39,1-13-2016
52667,23:04,3-16-2016
28622,16:51,11-14-2016
74463,19:29,5-17-2016
57156,21:35,4-16-2016
19692,15:36,10-19-2016
38303,15:36,1-8-2016
74031,17:58,5-28-2016
21537,19:04,8-21-2016
47019,16:45,12-2-2016
34432,21:21,9-16-2016
37487,17:06,10-18-2016
87443,15:15,8-11-2016
35774,20:34,2-27-2016
61328,21:16,5-3-2016
11421,21:50,9-9-2016
62451,22:05,1-15-2016
18396,15:47,2-27-2016
15762,23:04,1-20-2016
91416,14:30,12-19-2016
84442,16:36,2-26-2016
96788,20:52,4-12-2016
39367,17:10,7-28-2016
16774,22:37,8-2-2016
38652,15:30,11-28-2016
63565,15:30,3-10-2016
77609,17:02,2-28-2016
70941,15:25,1-9-2016
91509,17:27,1-17-2016
35257,23:50,10-9-2016
22270,23:19,11-11-2016
87113,23:23,8-7-2016
97761,15:35,12-28-2016
46207,17:43,1-17-2016
27293,22:08,10-4-2016
38408,22:22,1-7-2016
74369,17:25,11-7-2016
85203,14:51,1-22-2016
89508,21:17,9-1-2016
90767,14:23,2-1-2016
39134,19:22,12-14-2016
14287,21:29,6-11-2016
19280,18:17,3-5-2016
17846,15:31,5-19-2016
75850,16:58,2-7-2016
69993,15:18,1-22-2016
28431,22:10,3-13-2016
75175,22:37,7-24-2016
72912,16:07,10-21-2016
92743,22:30,5-7-2016
53584,20:00,2-4-2016
50344,21:45,12-15-2016
56397,20:32,12-28-2016
30870,17:16,12-14-2016
22242,20:37,8-19-2016
35551,21:22,11-14-2016
92518,19:39,7-13-2016
30766,14:03,7-9-2016
65073,21:36,8-5-2016
13098,14:26,5-6-2016
19062,17:58,11-28-2016
37122,20:49,9-27-2016
59682,19:19,5-25-2016
42002,23:28,9-6-2016
53361,21:46,10-19-2016
99006,19:06,5-16-2016
90843,17:11,3-18-2016
21408,16:53,11-5-2016
24840,17:00,10-23-2016
83438,18:44,3-18-2016
22830,21:49,6-17-2016
93102,18:12,12-10-2016
13265,14:52,8-25-2016
80023,14:08,2-17-2016
64222,17:52,11-8-2016
14701,21:27,9-24-2016
61211,17:59,4-6-2016
64110,23:01,2-24-2016
88095,19:24,5-6-2016
50471,15:05,10-8-2016
98812,20:22,3-19-2016
64129,16:54,2-26-2016
16973,23:24,7-15-2016
49800,21:42,5-6-2016
23931,16:17,8-4-2016
43703,22:15,6-14-2016
91728,23:06,6-7-2016
51802,17:09,11-7-2016
47865,22:52,5-17-2016
53534,14:42,4-26-2016
76340,22:26,2-11-2016
91137,18:14,5-27-2016
93661,23:56,8-2-2016
27413,19:03,1-10-2016
45532,15:18,9-7-2016
31240,19:24,2-4-2016
78634,16:21,9-3-2016
12492,23:54,11-14-2016
49172,15:31,6-18-2016
53716,18:45,9-14-2016
41162,18:34,6-8-2016
69810,17:26,6-17-2016
52010,23:46,5-20-2016
14657,16:57,4-9-2016
55602,21:42,6-16-2016
48217,20:22,4-17-2016
69716,21:22,10-27-2016
13281,23:45,9-23-2016
59558,16:51,2-11-2016
67266,15:41,10-19-2016
96905,17:52,1-2-2016
72664,20:05,10-27-2016
27813,18:59,5-17-2016
68118,14:49,1-23-2016
52244,18:46,3-12-2016
72809,17:03,5-7-2016
76483,16:38,8-6-2016
20746,20:21,7-8-2016
44566,23:20,12-26-2016
26162,19:59,3-27-2016
40728,21:15,5-24-2016
83868,16:58,9-14-2016
83313,18:05,12-12-2016
20978,19:10,5-7-2016
93257,23:15,5-25-2016
18682,23:56,1-11-2016
79362,23:59,7-19-2016
69576,22:07,10-21-2016
13534,22:41,8-18-2016
58591,22:07,10-2-2016
50703,21:42,11-8-2016
15388,22:21,7-23-2016
49836,23:37,5-25-2016
78513,14:06,6-10-2016
18299,15:52,6-4-2016
60575,14:18,10-11-2016
67556,15:18,10-6-2016
79589,21:31,11-15-2016
37313,15:24,6-18-2016
76131,23:31,5-28-2016
41918,21:51,12-23-2016
52888,21:41,7-25-2016
32093,14:10,10-17-2016
79786,14:34,12-20-2016
34707,14:12,3-23-2016
23090,14:17,8-16-2016
96178,18:11,6-11-2016
22816,20:02,9-14-2016
75164,18:26,12-27-2016
30380,15:12,1-28-2016
36839,15:49,5-21-2016
28390,19:08,3-28-2016
13861,14:01,5-2-2016
58705,20:42,1-25-2016
23336,18:25,3-3-2016
86821,14:00,1-3-2016
19969,20:34,1-13-2016
88174,22:24,8-24-2016
46737,15:40,4-3-2016
77229,14:36,6-4-2016
16854,23:58,1-23-2016
61064,17:27,6-6-2016
68954,23:19,8-4-2016
60556,17:03,6-9-2016
22542,15:14,5-1-2016
11040,21:20,8-22-2016
37124,18:06,6-11-2016
68751,14:45,1-3-2016
32266,21:56,2-6-2016
37045,17:07,4-28-2016
75186,15:16,2-2-2016
57967,23:47,9-13-2016
38538,23:55,4-11-2016
50401,19:59,6-24-2016
53677,18:25,9-9-2016
13397,21:44,3-5-2016
47396,17:50,9-8-2016
37145,18:59,1-18-2016
27932,17:04,5-16-2016
30559,15:58,6-1-2016
82720,18:38,12-16-2016
55914,20:39,10-7-2016
95187,23:14,5-7-2016
20848,22:30,7-17-2016
49765,15:18,9-10-2016
30508,22:55,2-2-2016
99481,19:05,10-2-2016
54485,15:25,2-20-2016
37076,22:05,1-1-2016
60498,23:48,10-15-2016
10382,22:21,3-6-2016
67382,18:09,4-25-2016
51448,18:52,6-11-2016
97910,19:50,11-28-2016
70667,18:36,3-11-2016
69153,15:17,11-20-2016
98056,16:17,6-17-2016
71948,23:06,2-21-2016
14237,21:14,11-8-2016
69600,23:11,12-3-2016
91206,22:40,4-10-2016
13237,17:26,8-9-2016
74860,21:39,2-15-2016
84746,22:52,8-7-2016
26283,18:16,7-12-2016
45333,21:33,10-18-2016
55414,18:13,7-26-2016
47016,16:26,10-22-2016
98494,22:02,9-21-2016
98354,14:19,3-1-2016
50964,19:30,10-12-2016
63878,17:32,6-3-2016
97016,22:21,9-5-2016
24388,20:16,10-19-2016
39264,22:46,9-26-2016
67530,17:24,3-9-2016
88690,21:42,12-7-2016
17126,22:26,4-7-2016
12226,20:06,12-8-2016
89564,15:53,5-5-2016
94729,21:48,3-18-2016
67028,20:16,12-15-2016
41687,18:35,3-9-2016
72130,15:47,12-21-2016
41525,16:43,9-28-2016
98114,23:41,4-27-2016
79361,22:18,5-20-2016
49694,22:51,4-7-2016
24517,23:36,2-8-2016
46347,19:20,8-25-2016
63849,23:55,12-12-2016
54098,18:57,6-17-2016
72728,15:52,12-7-2016
13676,20:21,8-5-2016
47161,20:27,10-13-2016
93953,21:37,5-18-2016
30250,18:54,11-8-2016
15252,17:32,8-27-2016
52192,22:33,1-22-2016
97720,17:31,9-28-2016
74044,23:46,10-26-2016
10746,16:10,7-3-2016
10489,18:51,1-13-2016
18437,14:30,9-13-2016
20173,14:00,4-12-2016
47759,21:43,6-11-2016
25632,16:01,10-23-2016
95977,21:13,1-1-2016
83471,23:42,1-27-2016
22997,22:17,8-18-2016
57957,16:43,8-3-2016
43014,21:39,9-16-2016
83768,19:55,6-10-2016
35073,18:02,7-25-2016
13821,16:33,11-13-2016
14879,18:16,4-9-2016
92979,17:01,7-13-2016
14352,15:28,7-20-2016
51844,20:58,9-23-2016
21855,23:03,9-19-2016
73315,21:47,1-27-2016
64504,19:30,2-24-2016
55494,19:35,4-9-2016
36634,20:19,7-13-2016
78816,18:25,1-3-2016
78818,15:12,6-13-2016
89272,20:32,12-20-2016
36627,15:09,2-4-2016
73020,15:09,9-2-2016
25278,21:15,4-24-2016
69310,20:36,2-14-2016
52922,19:03,3-16-2016
70597,21:55,5-3-2016
35158,18:13,9-10-2016
73235,22:47,2-12-2016
84862,16:57,12-24-2016
74553,21:36,11-6-2016
79951,14:13,11-8-2016
71945,22:35,2-15-2016
31878,21:43,6-10-2016
78994,22:08,2-6-2016
99469,16:23,8-16-2016
48419,15:06,7-12-2016
92529,16:30,7-16-2016
19579,14:34,8-7-2016
80126,16:54,11-10-2016
21034,17:43,1-5-2016
49738,22:25,10-5-2016
20698,20:55,2-18-2016
59696,16:34,8-7-2016
73190,16:06,12-19-2016
51532,23:08,7-24-2016
38935,23:35,5-1-2016
27674,18:35,12-15-2016
45687,16:59,9-10-2016
48248,14:31,10-27-2016
30698,21:41,6-13-2016
58193,20:43,5-24-2016
35301,14:05,11-25-2016
54515,19:26,9-16-2016
56002,15:20,2-18-2016
88972,23:37,2-12-2016
33319,19:05,10-5-2016
89442,21:22,9-11-2016
91468,20:08,3-18-2016
99406,21:16,8-6-2016
68616,23:37,12-25-2016
11708,19:36,4-3-2016
90328,18:34,12-28-2016
18613,16:43,11-17-2016
29040,21:21,10-4-2016
55528,17:52,6-27-2016
34457,23:32,4-13-2016
31231,18:58,4-3-2016
40596,21:57,12-1-2016
11646,18:07,5-18-2016
96447,19:23,12-28-2016
16589,21:09,3-12-2016
68952,22:17,4-3-2016
83044,14:18,7-5-2016
90418,20:07,2-17-2016
60577,17:13,10-17-2016
45990,21:17,1-21-2016
30923,17:54,9-4-2016
29209,21:06,8-2-2016
98743,22:13,4-23-2016
19045,14:35,8-14-2016
89969,15:31,1-17-2016
65879,21:56,2-25-2016
61683,22:19,5-15-2016
14730,15:29,4-1-2016
36303,21:27,5-20-2016
84181,16:50,3-16-2016
25408,22:05,4-18-2016
63677,21:26,9-15-2016
12613,18:47,2-27-2016
86215,16:36,9-24-2016
13960,19:49,8-8-2016
24995,14:46,10-21-2016
85480,22:47,11-16-2016
37014,22:45,2-9-2016
39179,20:10,1-6-2016
15918,21:20,1-8-2016
33484,16:17,5-18-2016
16035,22:36,2-4-2016
53943,15:26,5-15-2016
43264,17:17,4-27-2016
46113,23:53,11-23-2016
31377,16:53,7-9-2016
94453,15:27,12-11-2016
73998,21:49,5-3-2016
22824,22:49,3-19-2016
44236,14:34,1-6-2016
65875,16:12,10-12-2016
66827,16:53,5-20-2016
78066,15:16,6-10-2016
87142,19:12,11-5-2016
81775,20:24,6-26-2016
78876,17:37,2-6-2016
36835,19:15,5-22-2016
95521,16:54,11-26-2016
73164,22:47,3-6-2016
82461,22:49,6-16-2016
66470,19:45,6-6-2016
83515,17:11,2-28-2016
89422,18:36,6-12-2016
70089,23:49,1-28-2016
77572,20:08,7-4-2016
35728,15:25,12-5-2016
23630,20:17,10-5-2016
40919,23:46,2-21-2016
87640,17:14,4-13-2016
64984,21:33,4-7-2016
14651,18:06,1-23-2016
62173,15:36,11-16-2016
41212,18:18,4-26-2016
62724,14:23,10-15-2016
37658,22:36,10-21-2016
10104,15:23,5-23-2016
30344,15:55,9-13-2016
47600,22:41,12-17-2016
12709,17:08,9-21-2016
94635,18:26,10-24-2016
66985,22:55,1-16-2016
38175,21:51,8-19-2016
14813,15:59,3-25-2016
51838,14:55,9-23-2016
33766,23:25,3-3-2016
51785,15:15,7-18-2016
92837,17:39,3-20-2016
41774,16:04,9-1-2016
97072,15:27,10-1-2016
62068,14:11,10-12-2016
34027,20:20,7-17-2016
10357,21:34,2-28-2016
47462,16:14,8-11-2016
97202,14:02,10-8-2016
65831,15:25,2-20-2016
22582,19:30,5-6-2016
95738,23:58,4-6-2016
97422,15:18,1-22-2016
26059,22:24,6-16-2016
80951,22:06,4-21-2016
31237,23:13,11-5-2016
79140,17:42,4-28-2016
18126,19:27,8-7-2016
55901,22:20,1-2-2016
11699,17:49,4-16-2016
87342,22:28,12-21-2016
89670,16:48,8-23-2016
99130,14:24,6-1-2016
75286,15:40,1-16-2016
69491,17:42,11-2-2016
45501,20:59,4-22-2016
61289,21:36,11-7-2016
65591,21:45,4-4-2016
37285,23:24,7-1-2016
86070,15:21,1-2-2016
97129,18:08,1-10-2016
66350,21:38,8-20-2016
85711,22:43,1-26-2016
96729,17:14,10-15-2016
10473,18:58,11-9-2016
52368,19:41,1-10-2016
42998,17:01,8-16-2016
87375,19:33,7-27-2016
36495,20:11,12-14-2016
67722,16:37,7-26-2016
44936,15:23,9-12-2016
61200,17:24,10-27-2016
94262,14:48,2-4-2016
97365,20:29,7-11-2016
88054,18:40,5-11-2016
68857,18:37,8-4-2016
